2258,"GROUND WATER
FROM GOALPARA
DIST. (GOALPARA
COLLEGE )",Assam,27.0,33.0,30.0,6.5,6.6,6.6,465,613,539,0.4,1.1,0.8,2.8,3.1,3,0,0,0,230,2300,1265
2259,"GROUND WATER
FROM DIPHU
(GOVT. COLLEGE)",Assam,28.0,29.0,28.5,7.2,7.5,7.4,1126,1904,1515,0.7,2.8,1.8,1.2,1.9,1.6,0,0,0,0,0,0
2261,"GROUND WATER
FROM HAFLONG",Assam,12.0,20.0,16.0,7.1,7.1,7.1,464,668,566,0.4,3.9,2.2,0.2,0.2,0.2,0,0,0,0,150,75
2262,"GROUND WATER
FROM KARIMGANJ
(COLLEGE)",Assam,12.0,12.0,12.0,6.5,6.5,6.5,330,330,330,0.9,0.9,0.9,4.7,4.7,4.7,0,0,0,430,430,430
2263,"GROUND WATER
FROM HIALAKANDI
(NEAR ASTC BUS
STAND )",Assam,13.0,20.0,16.5,6.2,6.9,6.6,309,417,363,0.4,0.5,0.5,0.5,1.6,1.1,0,0,0,0,0,0
2264,"GROUND WATER IN
PANCHGRAM
MARKET NEAR
CACHAR PAPER
MILL",Assam,14.0,21.0,17.5,6.4,6.5,6.5,134,1190,662,3.1,4.1,3.6,0.6,4,2.3,0,910,455,280,29000,14640
1513,"B W. - KRISHNA
MURTHY, D.NO. 48-
16-43 AUTONAGAR
VIJJAYAWADA,
KRISNA DIST., A.P.","ANDHRA
PRADESH",23.0,23.0,23.0,7.0,7.0,7.0,2050,2050,2050,,,,2.5,2.5,2.5,,,,400,400,400
1514,"B/W. - VIJAY
KUMAR
AUTONAGAR
VIJAYAWADA,
KRISHNA DIST., A.P.","ANDHRA
PRADESH",23.0,23.0,23.0,7.3,7.3,7.3,1639,1639,1639,,,,1.2,1.2,1.2,,,,400,400,400
1515,"B/W. -
NAGARAM(V),
PALVONCHA,
KHAMMAM DIST.,
A.P.","ANDHRA
PRADESH",19.0,19.0,19.0,7.4,7.4,7.4,1569,1569,1569,0.6,0.6,0.6,2.8,2.8,2.8,,,,400,400,400
1516,"B W OF NAVLOK
GARDENS
NELLORE AP","ANDHRA
PRADESH",29.0,29.0,29.0,7.4,7.4,7.4,1119,1119,1119,,,,0.5,0.5,0.5,,,,400,400,400
1517,"B/W. -
TUNGBHADRA
RIVER NEAR
KURNOOL, A.P.","ANDHRA
PRADESH",27.0,30.6,28.5,7.2,8.1,7.9,1520,1950,1687,0.8,1.0,0.9,3.1,8,4.6,0,0,0,20,40,32
1518,"B/W. - NANDYAL,
KURNOOL DIST.,
A.P.","ANDHRA
PRADESH",27.0,35.0,29.6,7.8,8.2,7.9,2150,5000,3720,1.0,1.6,1.4,4,14,8.4,0,0,0,20,50,36
1519,"B/W. - NAGIRI,
CHITTOOR DIST.,
A.P","ANDHRA
PRADESH",27.0,37.0,29.2,7.8,8.1,7.9,730,1510,1131,1.1,1.8,1.4,0,3.1,1.7,0,0,0,30,30,30
1520,"B/W. -
SWARNAMUKHI
RIVER,
SRIKALAHASTI,
CHITTOOR DIST.,
A.P.","ANDHRA
PRADESH",27.0,39.5,31.1,7.6,8.3,7.9,723,1100,966,1.1,1.5,1.3,2.1,11.5,4.6,0,0,0,20,40,34
1521,"O/W. - NEAR RAMA
TEMPLE , WARD
NO.2 , MINDI ,
VISAKHAPATNAM,
A.P","ANDHRA
PRADESH",25.0,25.0,25.0,7.7,7.7,7.7,1790,1790,1790,1.0,1.0,1.0,5.4,5.4,5.4,9,9,9,120,120,120
1522,"O/W. PEDDANUYYI -
VIZIANAGARAM,
A.P","ANDHRA
PRADESH",25.0,29.0,26.0,7.2,7.7,7.4,771,1343,962,1.0,1.2,1.1,1.1,1.8,1.4,4,23,16,4,150,84
1523,"B/W. - NEAR M/S
ANDHRA SUGARS
LTD. , KOVVUR ,
W.G.DIST., A.P","ANDHRA
PRADESH",27.0,27.0,27.0,7.9,7.9,7.9,347,347,347,1.0,1.0,1.0,0.2,0.2,0.2,3,3,3,14,14,14
1524,"O/W. -NEAR PARTAP
NAGAR BRIIDGE -
KAKINADA ,
E.G.DIST., A.P","ANDHRA
PRADESH",26.0,26.0,26.0,7.4,7.4,7.4,1904,1904,1904,1.2,1.2,1.2,1.5,1.5,1.5,4,4,4,4,4,4
